CountryID;iso3cd;Name;UN intermediate region;Continent
1;ABW;Aruba;13_Caribbean;North_America
2;AFG;Afghanistan;10_Southern Asia;Asia
3;AGO;Angola;02_Middle Africa;Africa
4;AIA;Anguilla;13_Caribbean;North_America
5;ALA;Åland Islands;15_Northern Europe;Europe
6;ALB;Albania;18_Southern Europe;Europe
7;AND;Andorra;18_Southern Europe;Europe
8;ARE;United Arab Emirates;07_Western Asia;Asia
9;ARG;Argentina;14_South America;South_America
10;ARM;Armenia;07_Western Asia;Asia
11;ATG;Antigua and Barbuda;13_Caribbean;North_America
12;AUS;Australia;19_Australia and New Zealand;Australia_Oceania
13;AUT;Austria;17_Western Europe;Europe
14;AZE;Azerbaijan;07_Western Asia;Asia
15;ASM;American Samoa;20_Melanesia-Micronesia-Polynesia;Australia_Oceania
16;ATA;Antarctica;21_Antarctica;none
17;ATF;French Southern Territories;03_Eastern Africa;Africa
18;BDI;Burundi;03_Eastern Africa;Africa
19;BEL;Belgium;17_Western Europe;Europe
20;BEN;Benin;04_Western Africa;Africa
21;SOM;Somalia;03_Eastern Africa;Africa
22;BES;Bonaire, Sint Eustatius and Saba;13_Caribbean;North_America
23;BFA;Burkina Faso;04_Western Africa;Africa
24;BGD;Bangladesh;10_Southern Asia;Asia
25;BGR;Bulgaria;16_Eastern Europe;Europe
26;BHR;Bahrain;07_Western Asia;Asia
27;BHS;Bahamas;13_Caribbean;North_America
28;BIH;Bosnia and Herzegovina;18_Southern Europe;Europe
29;BLM;Saint Barthélemy;13_Caribbean;North_America
30;BLR;Belarus;16_Eastern Europe;Europe
31;BLZ;Belize;12_Central America;North_America
32;BMU;Bermuda;11_Northern America;North_America
33;BOL;Bolivia (Plurinational State of);14_South America;South_America
34;BRA;Brazil;14_South America;South_America
35;MCO;Monaco;17_Western Europe;Europe
36;MDA;Republic of Moldova;16_Eastern Europe;Europe
37;BRB;Barbados;13_Caribbean;North_America
38;BRN;Brunei Darussalam;09_South-eastern Asia;Asia
39;BTN;Bhutan;10_Southern Asia;Asia
40;BVT;Bouvet Island;05_Southern Africa;South_America
41;BWA;Botswana;05_Southern Africa;Africa
42;CAF;Central African Republic;02_Middle Africa;Africa
43;CAN;Canada;11_Northern America;North_America
44;CCK;Cocos (Keeling) Islands;19_Australia and New Zealand;Australia_Oceania
45;CHE;Switzerland;17_Western Europe;Europe
46;CHL;Chile;14_South America;South_America
47;CHN;China;06_Eastern Asia;Asia
48;CIV;Côte d'Ivoire;04_Western Africa;Africa
49;CMR;Cameroon;02_Middle Africa;Africa
50;COD;Democratic Republic of the Congo;02_Middle Africa;Africa
51;COG;Congo;02_Middle Africa;Africa
52;CYM;Cayman Islands;13_Caribbean;North_America
53;CYP;Cyprus;07_Western Asia;Asia
54;CZE;Czechia;16_Eastern Europe;Europe
55;DEU;Germany;17_Western Europe;Europe
56;DJI;Djibouti;03_Eastern Africa;Africa
57;KNA;Saint Kitts and Nevis;13_Caribbean;North_America
58;KOR;Republic of Korea;06_Eastern Asia;Asia
59;COK;Cook Islands;20_Melanesia-Micronesia-Polynesia;Australia_Oceania
60;COL;Colombia;14_South America;South_America
61;COM;Comoros;03_Eastern Africa;Africa
62;CPV;Cabo Verde;04_Western Africa;Africa
63;CRI;Costa Rica;12_Central America;North_America
64;CUB;Cuba;13_Caribbean;North_America
65;CUW;Curaçao;13_Caribbean;North_America
66;CXR;Christmas Island;19_Australia and New Zealand;Australia_Oceania
67;GBR;United Kingdom;15_Northern Europe;Europe
